id,ident,type,name,latitude_deg,longitude_deg,elevation_ft,continent,iso_country,iso_region,municipality,scheduled_service,icao_code,iata_code,gps_code,local_code,home_link,wikipedia_link,keywords
6495,UMBB,large_airport,Brest International Airport,52.108138,23.89676,468,EU,BY,BY-BR,Brest,yes,UMBB,BQT,UMBB,,https://www.ban.by/filialy/brest,https://en.wikipedia.org/wiki/Brest_Airport,Аэропорт Брест
6496,UMGG,medium_airport,Gomel Airport,52.527000427246094,31.016700744628906,472,EU,BY,BY-HO,Gomel,yes,UMGG,GME,UMGG,,http://www.gomelavia.com/,https://en.wikipedia.org/wiki/Gomel_Airport,
6497,UMII,medium_airport,Vitebsk Vostochny Airport,55.126499176025,30.349599838257,682,EU,BY,BY-VI,Vitebsk,no,UMII,VTB,UMII,,,https://en.wikipedia.org/wiki/Vitebsk_Vostochny_Airport,"УМІІ, УМИИ, Vitebsk Southeast, Vitebsk East Airport, Аэрапорт Віцебск, Аэропорт Витебск"
6498,UMKK,large_airport,Khrabrovo Airport,54.89161,20.598559,42,EU,RU,RU-KGD,Kaliningrad,yes,UMKK,KGD,UMKK,,https://kgdavia.ru/,https://en.wikipedia.org/wiki/Khrabrovo_Airport,"УМКК, Храброво"
6499,UMMG,medium_airport,Hrodna Airport,53.602001,24.053801,443,EU,BY,BY-HR,Hrodna,no,UMMG,GNA,UMMG,,,https://en.wikipedia.org/wiki/Hrodna_Airport,"Grodno Airport, Гро́дна"
6501,UMMS,large_airport,Minsk National Airport,53.888071,28.039964,670,EU,BY,BY-MI,Minsk,yes,UMMS,MSQ,UMMS,,http://airport.by/en,https://en.wikipedia.org/wiki/Minsk_National_Airport,"Нацыянальны аэрапорт, Minsk 2 Airport"
6502,UMOO,medium_airport,Mogilev Airport,53.954898834228516,30.09510040283203,637,EU,BY,BY-MA,Mogilev,yes,UMOO,MVQ,UMOO,,,https://en.wikipedia.org/wiki/Mogilev_Airport,
6503,UNAA,large_airport,Abakan International Airport,53.740002,91.385002,831,AS,RU,RU-KK,Abakan,yes,UNAA,ABA,UNAA,,,https://en.wikipedia.org/wiki/Abakan_International_Airport,"УНАА, Абакан"
6504,UNBB,large_airport,Barnaul Gherman Titov International Airport,53.361285,83.539701,837,AS,RU,RU-ALT,Barnaul,yes,UNBB,BAX,UNBB,,http://airaltay.ru/,https://en.wikipedia.org/wiki/Barnaul_Airport,"Аэропорт Барнаул, Barnaul West, Mikhaylovka, Novomikhaylovka"
42913,UNBG,medium_airport,Gorno-Altaysk Airport,51.969204,85.836539,965,EU,RU,RU-AL,Gorno-Altaysk,no,UNBG,RGK,UNBG,,,https://en.wikipedia.org/wiki/Gorno-Altaysk_Airport,Аэропорт Горно-Алтайск
6505,UNEE,large_airport,Alexei Leonov Kemerovo International Airport,55.2701,86.107201,863,AS,RU,RU-KEM,Kemerovo,yes,UNEE,KEJ,UNEE,,,https://en.wikipedia.org/wiki/Kemerovo_Airport,
42951,UNIB,medium_airport,Baykit Airport,61.676701,96.355003,853,AS,RU,RU-KYA,Baykit,no,,BKA,UNIB,,,https://en.wikipedia.org/wiki/Baykit_Airport,Аэропорт Байкит
30995,UNII,medium_airport,Yeniseysk Airport,58.474201,92.112503,253,AS,RU,RU-KYA,Yeniseysk,yes,UNII,EIE,UNII,,,https://en.wikipedia.org/wiki/Yeniseysk_Airport,"Yeniseisk Airport, Аэропорт Енисейск"
42955,UNIP,medium_airport,Podkamennaya Tunguska Airport,61.589699,89.994003,213,AS,RU,RU-KYA,Bor,no,UNIP,TGP,UNIP,,,https://en.wikipedia.org/wiki/Podkamennaya_Tunguska_Airport,Аэропорт Подкаменная Тунгуска
42956,UNIS,medium_airport,Severo-Yeniseysk Airport,60.373299,93.011703,1706,AS,RU,RU-KYA,Severo-Yeniseysk,yes,,VEO,UNIS,,,https://en.wikipedia.org/wiki/Severo-Eniseysk_Airport,"Severo-Eniseisk Airport, Аэропорт Северо-Енисейск"
32543,UNIT,small_airport,Tura Mountain Airport,64.333511,100.432892,2044,AS,RU,RU-KYA,Tura,yes,UNIT,GOY,UNIT,,,https://en.wikipedia.org/wiki/Tura_Airport,"УНИТ, Тура / Горный, Tura Northeast"
32544,UNIW,medium_airport,Vanavara Airport,60.356229,102.309641,892,AS,RU,RU-KYA,Vanavara,yes,,VAQ,UNIW,,,https://en.wikipedia.org/wiki/Vanavara_Airport,Аэропорт Ванавара
6506,UNKL,large_airport,Krasnoyarsk International Airport,56.175743,92.485788,942,AS,RU,RU-KYA,Krasnoyarsk,yes,UNKL,KJA,UNKL,,http://www.kja.aero,https://en.wikipedia.org/wiki/Krasnoyarsk_International_Airport,Yemelyanovo
44425,UNKM,medium_airport,Krasnoyarsk Cheremshanka Airport,56.177584,92.545881,833,AS,RU,RU-KYA,Krasnoyarsk,yes,,KCY,UNKM,,http://www.cheremshanka.ru/,https://en.wikipedia.org/wiki/Krasnoyarsk_Cheremshanka_Airport,Аэропорт Черемшанка
30616,UNKS,medium_airport,Achinsk Airport,56.269185,90.57511,1033,AS,RU,RU-KYA,Achinsk,no,UNKS,ACS,UNKS,,,https://en.wikipedia.org/wiki/Achinsk_Airport,УНКС
31793,UNKY,medium_airport,Kyzyl Airport,51.669399,94.400597,2123,AS,RU,RU-TY,Kyzyl,yes,UNKY,KYZ,UNKY,,,https://en.wikipedia.org/wiki/Kyzyl_Airport,
6507,UNNT,large_airport,Novosibirsk Tolmachevo Airport,55.019756,82.618675,365,EU,RU,RU-NVS,Novosibirsk,yes,UNNT,OVB,UNNT,,http://eng.tolmachevo.ru/,https://en.wikipedia.org/wiki/Tolmachevo_Airport,
6508,UNOO,large_airport,Omsk Central Airport,54.963124,73.312418,311,AS,RU,RU-OMS,Omsk,yes,UNOO,OMS,UNOO,,,https://en.wikipedia.org/wiki/Tsentralny_Airport,Omsk Tsentralny Airport
32546,UNSS,medium_airport,Strezhevoy Airport,60.7094,77.660004,164,AS,RU,RU-TOM,Strezhevoy,no,UNSS,SWT,UNSS,,,https://en.wikipedia.org/wiki/Strezhevoy_Airport,Аэропорт Стрежевой
32468,UNTT,large_airport,Tomsk Kamov Airport,56.380299,85.208298,597,AS,RU,RU-TOM,Tomsk,yes,UNTT,TOF,UNTT,,http://www.tomskairport.ru,https://en.wikipedia.org/wiki/Bogashevo_Airport,Bogashevo Airport
32045,UNWW,medium_airport,Spichenkovo Airport,53.811401,86.877197,1024,AS,RU,RU-KEM,Novokuznetsk,yes,UNWW,NOZ,UNWW,,https://aerokuz.ru,https://en.wikipedia.org/wiki/Spichenkovo_Airport,
